,id,label,count,louvain
945,require,require,5,9
946,patriotism,patriotism,5,6
947,insane,insane,5,5
948,holiday,holiday,5,4
949,scan,scan,6,6
950,grief,grief,5,6
951,defeat,defeat,5,5
952,bed,bed,5,6
953,hearing,hearing,5,6
954,worry,worry,5,1
955,raw,raw,5,6
956,woman,woman,5,5
957,story,story,5,6
958,accept,accept,6,5
959,own,own,5,6
960,fyi,fyi,5,6
961,body,body,7,6
962,final,final,4,6
963,song,song,4,5
964,complete,complete,4,6
965,super,super,4,4
966,lawmaker,lawmaker,4,6
967,discuss,discuss,4,6
968,express,express,4,4
969,online,online,4,6
970,proper,proper,4,6
971,add,add,4,6
972,exist,exist,4,6
973,donaldmftrump,donaldmftrump,4,5
974,putting,putting,4,4
975,girl,girl,4,4
976,upvote,upvote,4,4
977,darkness,darkness,4,9
978,generation,generation,4,4
979,legislative,legislative,4,6
980,vehicle,vehicle,4,6
981,racist,racist,4,6
982,communism,communism,4,6
983,becker,becker,4,6
984,screenshot,screenshot,6,6
985,write,write,4,9
986,vice,vice,5,6
987,parent,parent,4,6
988,custody,custody,4,6
989,dobbs,dobbs,4,6
990,temporarily,temporarily,4,6
991,fbi,fbi,4,6
992,2000,2000,4,6
993,reclaim,reclaim,4,6
994,ben,ben,5,6
995,redpillfairy,redpillfairy,4,6
996,suitcase,suitcase,4,6
997,truck,truck,5,6
998,false,false,4,1
999,civil,civil,5,6
1000,shop,shop,4,1
1001,pass,pass,4,6
1002,activist,activist,4,6
1003,arrest,arrest,4,6
1004,perfectly,perfectly,4,6
1005,codemonkeyz,codemonkeyz,4,6
1006,radical,radical,4,4
1007,shit,shit,4,5
1008,rebel,rebel,4,5
1009,warfare,warfare,4,6
1010,favorite,favorite,4,5
1011,foreigninterference,foreigninterference,4,6
1012,response,response,4,6
1013,department,department,5,6
1014,agency,agency,5,6
1015,electioncountdown,electioncountdown,4,6
1016,suit,suit,6,6
1017,hollywood,hollywood,4,2
1018,quit,quit,4,2
1019,aoc,aoc,7,4
1020,movie,movie,4,4
1021,past,past,4,6
1022,remark,remark,4,1
1023,review,review,4,6
1024,agendum,agendum,4,4
1025,facility,facility,5,6
1026,due,due,4,1
1027,releasethekraken,releasethekraken,4,6
1028,flood,flood,4,6
1029,respect,respect,4,6
1030,shoot,shoot,4,6
1031,maga2020,maga2020,4,2
1032,nc,nc,4,6
1033,elite,elite,4,4
1034,sheep,sheep,4,6
1035,camera,camera,4,4
1036,attach,attach,4,6
1037,relate,relate,4,6
1038,29,29,4,6
1039,level,level,4,2
1040,suggest,suggest,4,5
1041,ruby,ruby,8,6
1042,cancel,cancel,4,4
1043,rubyfreeman,rubyfreeman,4,6
1044,terrible,terrible,4,1
1045,correct,correct,4,6
1046,recognize,recognize,4,5
1047,fighter,fighter,4,5
1048,reveal,reveal,4,6
1049,early,early,4,4
1050,deny,deny,6,6
1051,host,host,4,6
1052,texaslawsuit,texaslawsuit,4,6
1053,tucker,tucker,4,4
1054,puppet,puppet,4,1
1055,fee,fee,4,6
1056,title,title,5,4
1057,scorecard,scorecard,4,2
1058,obama,obama,4,4
1059,appoint,appoint,4,4
1060,adam,adam,4,6
1061,mission,mission,4,6
1062,tear,tear,4,6
1063,rino,rino,5,6
1064,summary,summary,4,6
1065,source,source,4,6
1066,credit,credit,4,6
1067,pledge,pledge,4,6
1068,remove,remove,4,4
1069,tamper,tamper,4,6
1070,defy,defy,4,6
1071,tool,tool,4,6
